Column1,City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,    Male population,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female population,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median Age_Both sexes,Median Age_Male,Median Age_Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,County
7,Lafayette,25391,1176,1708,2010,1799,1003,863,1006,1442,1600,1893,1912,1827,1758,1584,1428,1021,652,709,20067,19223,18478,6452,5394,12423,606,869,1006,927,487,425,462,718,732,925,951,888,867,762,701,492,298,307,12968,570,839,1004,872,516,438,544,724,868,968,961,939,891,822,727,529,354,402,45.2,44.9,45.6,18489,180,58,3201,28,462,2973,Contra Costa County
8,Martinez,37287,1924,2026,1996,1972,1808,2138,2545,2763,2504,2272,2596,3005,2911,2448,1897,1195,698,589,30933,30107,28989,8569,6827,18174,995,992,1047,1036,954,1114,1260,1368,1256,1099,1251,1379,1329,1131,876,547,306,234,19113,929,1034,949,936,854,1024,1285,1395,1248,1173,1345,1626,1582,1317,1021,648,392,355,42.9,41.2,44.6,24191,1390,264,3828,117,2050,5447,Contra Costa County
9,Moraga,16870,667,943,1206,1919,1614,407,453,704,927,1156,1295,1121,1075,942,834,657,462,488,13766,13182,11590,4009,3383,8108,340,462,639,890,770,209,225,330,422,555,596,546,511,471,397,319,206,220,8762,327,481,567,1029,844,198,228,374,505,601,699,575,564,471,437,338,256,268,42.9,42.1,43.5,10877,211,42,3182,42,427,2089,Contra Costa County
10,Oakley,43357,2782,3274,3489,3279,2660,2619,3146,3355,3027,2857,2775,2848,2468,1824,1331,779,480,364,33151,31769,29944,6217,4778,21251,1376,1660,1779,1660,1371,1315,1547,1637,1484,1397,1351,1400,1170,825,613,333,202,131,22106,1406,1614,1710,1619,1289,1304,1599,1718,1543,1460,1424,1448,1298,999,718,446,278,233,35.6,34.7,36.6,19917,3627,448,4107,303,7320,7635,Contra Costa County
11,Orinda,19514,1003,1399,1551,1328,703,453,537,1036,1275,1447,1452,1455,1318,1281,1219,917,547,593,15253,14655,14079,5354,4557,9586,498,744,776,685,347,240,259,475,596,724,726,721,619,625,587,452,268,244,9928,505,655,775,643,356,213,278,561,679,723,726,734,699,656,632,465,279,349,46.6,46,47.3,13423,196,31,3401,20,282,2161,Contra Costa County
12,Pinole,19022,847,966,973,988,1052,1148,1279,1335,1181,1096,1211,1461,1417,1298,1084,725,472,489,16042,15626,15064,4864,4068,9061,416,502,505,493,554,593,628,641,563,503,559,655,674,606,483,300,204,182,9961,431,464,468,495,498,555,651,694,618,593,652,806,743,692,601,425,268,307,43.8,41.9,46.2,6267,2099,216,4887,83,2857,2613,Contra Costa County
13,Pittsburg,76416,4734,4999,5424,5454,5272,5637,5727,5587,5175,4768,4685,4777,4591,3556,2650,1538,973,869,60171,57901,54728,12245,9586,37209,2408,2571,2732,2786,2707,2798,2843,2722,2475,2359,2269,2205,2163,1676,1146,669,369,311,39207,2326,2428,2692,2668,2565,2839,2884,2865,2700,2409,2416,2572,2428,1880,1504,869,604,558,35.7,34.6,37,15893,12865,1098,15069,880,19654,10957,Contra Costa County
14,Pleasant Hill,34613,1978,1802,1835,1869,1776,2008,2465,2673,2304,2181,2304,2446,2350,2209,1744,1053,688,928,28619,27878,26733,7971,6622,16693,1000,938,945,969,948,1036,1220,1292,1108,1059,1125,1154,1063,996,800,474,278,288,17920,978,864,890,900,828,972,1245,1381,1196,1122,1179,1292,1287,1213,944,579,410,640,41.7,40,43.6,21825,921,201,5329,110,1584,4643,Contra Costa County
15,Richmond,116448,6643,7077,7642,7401,7396,8727,9526,9326,8301,7595,7165,7166,6624,5683,4525,2638,1551,1462,93601,90632,86206,19748,15859,57132,3370,3655,3848,3840,3905,4314,4818,4624,4114,3779,3465,3468,3026,2594,2043,1109,659,501,59316,3273,3422,3794,3561,3491,4413,4708,4702,4187,3816,3700,3698,3598,3089,2482,1529,892,961,36.9,35.7,38.2,23452,22254,2395,16740,652,35720,15235,Contra Costa County
16,San Pablo,32127,1917,2137,2440,2455,2334,2391,2519,2480,2287,2061,1982,1860,1575,1268,1055,571,384,411,25120,24168,22679,4584,3689,15986,991,1094,1243,1271,1212,1241,1243,1289,1126,1001,1025,887,771,579,482,237,157,137,16141,926,1043,1197,1184,1122,1150,1276,1191,1161,1060,957,973,804,689,573,334,227,274,34.7,33.6,35.7,4173,4012,722,5018,145,13807,4250,Contra Costa County
17,San Ramon,84605,3891,6081,8243,7222,4094,3189,3945,5708,7555,8546,7102,5551,3961,3081,2739,1780,1066,851,64752,61497,58209,11748,9517,41595,1968,3144,4248,3774,2125,1596,1755,2550,3403,4339,3610,2895,1994,1365,1218,805,484,322,43010,1923,2937,3995,3448,1969,1593,2190,3158,4152,4207,3492,2656,1967,1716,1521,975,582,529,39.9,39.4,40.4,28741,2227,222,43270,210,2196,7739,Contra Costa County
18,Walnut Creek,70127,3285,3310,3218,3148,2491,3872,4811,4783,4162,4000,3991,4350,4320,4370,4641,4100,3100,4175,59622,58238,56694,23004,20386,32415,1735,1644,1666,1671,1229,1845,2310,2444,2027,1920,1904,2116,1942,1846,1901,1587,1202,1426,37712,1550,1666,1552,1477,1262,2027,2501,2339,2135,2080,2087,2234,2378,2524,2740,2513,1898,2749,47.5,44.1,50.6,46478,1564,214,11684,111,2463,7613,Contra Costa County
0,Belvedere,2126,63,101,165,170,62,39,39,59,101,164,163,154,132,156,177,150,121,110,1753,1669,1605,792,714,979,38,46,73,87,24,17,20,17,49,64,75,80,59,66,75,84,58,47,1147,25,55,92,83,38,22,19,42,52,100,88,74,73,90,102,66,63,63,52.9,52.6,53.2,1858,20,7,71,0,22,148,Marin County
