,City,SEX AND AGE,    Total population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Male population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Female population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,MEDIAN AGE BY SEX,    Both sexes,    Male,    Female,RACE,    Total population,        One Race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,TOTAL RACES TALLIED [1],    Total races tallied,        White alone or in combination with one or more other races,        Black or African American alone or in combination with one or more other races,        American Indian and Alaska Native alone or in combination with one or more other races,        Asian alone or in combination with one or more other races,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,        Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,    Total population,        Hispanic or Latino (of any race),        Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,    Total population,        Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,RELATIONSHIP,    Total population,        In households,            Householder,            Opposite-sex spouse,            Same-sex spouse,            Opposite-sex unmarried partner,            Same-sex unmarried partner,            Child [2],                Under 18 years,            Grandchild,                Under 18 years,            Other relatives,            Nonrelatives,        In group quarters,            Institutionalized population:,                Male,                Female,            Noninstitutionalized population:,                Male,                Female,HOUSEHOLDS BY TYPE,    Total households,        Married couple household,            With own children under 18 [3],        Cohabiting couple household,            With own children under 18 [3],"        Male householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],"        Female householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],        Households with individuals under 18 years,        Households with individuals 65 years and over,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,            For rent,"            Rented, not occupied",            For sale only,"            Sold, not occupied","            For seasonal, recreational, or occasional use",            All other vacants,VACANCY RATES,    Homeowner vacancy rate (percent) [4],    Rental vacancy rate (percent) [5],HOUSING TENURE,    Occupied housing units,        Owner-occupied housing units,        Renter-occupied housing units,County
18,Walnut Creek,,"70,127","3,285","3,310","3,218","3,148","2,491","3,872","4,811","4,783","4,162","4,000","3,991","4,350","4,320","4,370","4,641","4,100","3,100","4,175",,"59,622","58,238","56,694","23,004","20,386","32,415","1,735","1,644","1,666","1,671","1,229","1,845","2,310","2,444","2,027","1,920","1,904","2,116","1,942","1,846","1,901","1,587","1,202","1,426",,"26,999","26,256","25,452","9,136","7,962","37,712","1,550","1,666","1,552","1,477","1,262","2,027","2,501","2,339","2,135","2,080","2,087","2,234","2,378","2,524","2,740","2,513","1,898","2,749",,"32,623","31,982","31,242","13,868","12,424",,47.5,44.1,50.6,,"70,127","62,514","46,478","1,564",214,"11,684",111,"2,463","7,613",,"78,470","53,652","2,394","1,068","14,632",418,"6,306",,"70,127","7,304","62,823",,"70,127","7,304","1,556",87,133,146,8,"1,997","3,377","62,823","44,922","1,477",81,"11,538",103,466,"4,236",,"70,127","69,208","32,230","14,733",248,"1,526",139,"16,122","11,282",445,300,"1,820","1,945",919,631,211,420,288,124,164,,"32,246","14,951","5,392","1,680",202,"5,054","3,775","1,636",272,"10,561","8,022","5,525",745,"7,022","14,502",,"34,251","32,246","2,005",879,76,210,93,300,447,,1.0,7.0,,"32,246","20,722","11,524",Contra Costa County
0,Belvedere,,"2,126",63,101,165,170,62,39,39,59,101,164,163,154,132,156,177,150,121,110,,"1,753","1,669","1,605",792,714,979,38,46,73,87,24,17,20,17,49,64,75,80,59,66,75,84,58,47,,806,755,723,364,330,"1,147",25,55,92,83,38,22,19,42,52,100,88,74,73,90,102,66,63,63,,947,914,882,428,384,,52.9,52.6,53.2,,"2,126","1,978","1,858",20,7,71,0,22,148,,"2,277","2,005",33,17,111,8,103,,"2,126",109,"2,017",,"2,126",109,20,3,2,0,0,10,74,"2,017","1,838",17,5,71,0,12,74,,"2,126","2,126",885,517,11,29,3,604,428,12,9,21,44,0,0,0,0,0,0,0,,898,528,198,31,15,105,84,59,11,234,162,118,31,277,480,,"1,060",898,162,12,4,9,11,62,64,,1.4,4.5,,898,645,253,Marin County
1,Corte Madera,,"10,222",536,700,841,752,360,294,418,577,738,811,871,835,631,571,494,352,221,220,,"7,979","7,639","7,318","2,196","1,858","4,886",264,364,429,409,181,137,197,275,337,364,408,393,314,240,223,164,104,83,,"3,743","3,561","3,390",969,814,"5,336",272,336,412,343,179,157,221,302,401,447,463,442,317,331,271,188,117,137,,"4,236","4,078","3,928","1,227","1,044",,44.3,42.8,45.6,,"10,222","9,010","7,635",77,69,834,14,381,"1,212",,"11,503","8,810",184,207,"1,231",38,"1,033",,"10,222","1,092","9,130",,"10,222","1,092",213,5,61,27,0,278,508,"9,130","7,422",72,8,807,14,103,704,,"10,222","10,209","3,986","2,167",32,162,14,"3,287","2,485",48,38,215,298,13,10,8,2,3,2,1,,"3,990","2,203","1,113",173,51,536,336,144,84,"1,078",629,360,211,"1,534","1,377",,"4,174","3,990",184,80,19,12,14,13,46,,0.4,5.6,,"3,990","2,672","1,318",Marin County
2,Fairfax,,"7,605",273,348,484,453,255,293,325,418,457,571,706,650,612,643,556,286,153,122,,"6,405","6,200","5,998","2,137","1,760","3,674",157,164,236,250,133,145,168,194,204,268,339,298,282,301,266,145,69,55,,"3,058","2,960","2,840","1,013",836,"3,931",116,184,248,203,122,148,157,224,253,303,367,352,330,342,290,141,84,67,,"3,347","3,240","3,158","1,124",924,,49.5,48.7,50.1,,"7,605","6,750","5,998",94,56,233,20,349,855,,"8,513","6,826",179,204,441,38,825,,"7,605",878,"6,727",,"7,605",878,183,0,40,1,5,289,360,"6,727","5,815",94,16,232,15,60,495,,"7,605","7,579","3,284","1,417",45,247,16,"1,908","1,318",51,34,170,441,26,10,10,0,16,10,6,,"3,284","1,469",558,267,59,563,357,139,55,985,582,315,163,916,"1,298",,"3,470","3,284",186,43,5,13,4,29,92,,0.6,3.6,,"3,284","2,128","1,156",Marin County
3,Larkspur,,"13,064",506,610,781,724,478,438,650,731,812,964,"1,018","1,064",920,852,834,664,430,588,,"10,985","10,680","10,360","3,918","3,368","6,037",256,308,392,372,231,231,291,318,373,449,476,488,455,344,360,290,175,228,,"4,993","4,827","4,674","1,672","1,397","7,027",250,302,389,352,247,207,359,413,439,515,542,576,465,508,474,374,255,360,,"5,992","5,853","5,686","2,246","1,971",,49.2,47.8,50.3,,"13,064","11,640","9,848",193,78,820,15,686,"1,424",,"14,591","11,224",306,225,"1,260",66,"1,510",,"13,064","1,450","11,614",,"13,064","1,450",249,10,58,7,0,537,589,"11,614","9,599",183,20,813,15,149,835,,"13,064","12,969","6,107","2,552",47,382,36,"3,152","2,259",65,49,295,333,95,87,30,57,8,7,1,,"6,102","2,597","1,015",428,77,"1,038",752,345,86,"2,039","1,495",891,216,"1,492","2,525",,"6,459","6,102",357,171,8,15,21,64,78,,0.5,5.2,,"6,102","2,967","3,135",Marin County
4,Mill Valley,,"14,231",577,842,"1,087","1,006",460,323,509,640,866,"1,180","1,258","1,120","1,007",915,834,676,405,526,,"11,496","11,029","10,581","3,950","3,356","6,650",294,431,547,515,215,162,233,270,381,548,573,573,461,413,388,274,164,208,,"5,249","5,021","4,794","1,718","1,447","7,581",283,411,540,491,245,161,276,370,485,632,685,547,546,502,446,402,241,318,,"6,247","6,008","5,787","2,232","1,909",,48.7,47.8,49.3,,"14,231","12,920","11,621",137,31,860,13,258,"1,311",,"15,600","12,896",248,175,"1,352",46,883,,"14,231",859,"13,372",,"14,231",859,182,15,13,14,3,163,469,"13,372","11,439",122,18,846,10,95,842,,"14,231","14,066","5,978","2,967",52,269,16,"4,128","3,106",74,50,199,383,165,26,7,19,139,92,47,,"5,988","3,015","1,396",286,55,886,631,280,103,"1,801","1,280",783,203,"1,852","2,439",,"6,502","5,988",514,105,27,51,38,118,175,,1.3,4.9,,"5,988","3,956","2,032",Marin County
5,Novato,,"53,225","2,490","2,916","3,379","3,347","2,504","2,347","2,711","3,346","3,389","3,440","3,838","3,930","3,821","3,604","3,302","2,281","1,324","1,256",,"43,771","42,293","40,533","13,998","11,767","25,582","1,262","1,508","1,727","1,744","1,252","1,273","1,369","1,627","1,579","1,649","1,836","1,863","1,793","1,595","1,394","1,021",578,512,,"20,723","19,984","19,056","6,153","5,100","27,643","1,228","1,408","1,652","1,603","1,252","1,074","1,342","1,719","1,810","1,791","2,002","2,067","2,028","2,009","1,908","1,260",746,744,,"23,048","22,309","21,477","7,845","6,667",,45.3,43.1,47.2,,"53,225","46,078","32,509","1,435",961,"3,966",108,"7,099","7,147",,"60,914","39,132","2,218","2,060","5,508",330,"11,666",,"53,225","13,615","39,610",,"53,225","13,615","1,674",60,866,66,8,"6,685","4,256","39,610","30,835","1,375",95,"3,900",100,414,"2,891",,"53,225","52,587","20,584","10,440",156,"1,157",67,"14,745","9,812",658,495,"2,610","2,170",638,160,68,92,478,266,212,,"20,564","10,577","4,158","1,214",354,"2,995","1,880",922,299,"5,778","3,384","2,195",823,"6,192","8,463",,"21,271","20,564",707,264,28,67,42,84,222,,0.5,3.6,,"20,564","13,599","6,965",Marin County
6,Ross,,"2,338",118,179,244,176,101,35,44,103,137,215,180,160,126,140,118,116,72,74,,"1,740","1,667","1,598",593,520,"1,133",60,102,122,80,48,22,17,50,61,104,80,80,70,62,51,57,31,36,,824,788,762,276,237,"1,205",58,77,122,96,53,13,27,53,76,111,100,80,56,78,67,59,41,38,,916,879,836,317,283,,45.8,45.3,46.0,,"2,338","2,156","2,082",2,1,41,0,30,182,,"2,537","2,259",25,23,80,7,143,,"2,338",130,"2,208",,"2,338",130,30,1,1,1,0,11,86,"2,208","2,052",1,0,40,0,19,96,,"2,338","2,287",790,562,4,12,3,840,642,22,18,20,34,51,0,0,0,51,18,33,,799,559,282,18,6,76,44,27,11,146,83,55,26,348,332,,880,799,81,15,0,8,10,19,29,,1.1,13.4,,799,702,97,Marin County
7,San Anselmo,,"12,830",570,816,912,891,430,373,452,711,818,"1,043","1,161","1,017",979,918,796,478,261,204,,"10,339","9,951","9,541","3,244","2,657","6,071",289,406,456,449,207,179,207,310,386,481,552,490,447,427,374,219,116,76,,"4,809","4,615","4,420","1,483","1,212","6,759",281,410,456,442,223,194,245,401,432,562,609,527,532,491,422,259,145,128,,"5,530","5,336","5,121","1,761","1,445",,47.2,46.6,47.8,,"12,830","11,386","10,392",100,45,450,12,387,"1,444",,"14,376","11,778",251,219,870,76,"1,182",,"12,830","1,180","11,650",,"12,830","1,180",274,3,25,11,0,284,583,"11,650","10,118",97,20,439,12,103,861,,"12,830","12,742","5,225","2,663",44,306,24,"3,770","2,728",98,70,189,423,88,20,7,13,68,43,25,,"5,225","2,703","1,227",331,72,752,482,194,108,"1,439",924,483,228,"1,721","1,900",,"5,518","5,225",293,71,2,30,14,48,128,,0.8,4.0,,"5,225","3,507","1,718",Marin County
8,San Rafael,,"61,271","3,269","3,482","3,612","3,791","3,381","3,434","3,995","4,430","4,274","4,040","4,086","3,804","3,597","3,435","3,056","2,207","1,517","1,861",,"50,175","48,707","46,271","14,132","12,076","30,421","1,714","1,789","1,863","1,991","1,726","1,783","2,125","2,286","2,158","2,007","2,080","1,872","1,734","1,613","1,416",974,643,647,,"24,672","23,860","22,643","6,307","5,293","30,850","1,555","1,693","1,749","1,800","1,655","1,651","1,870","2,144","2,116","2,033","2,006","1,932","1,863","1,822","1,640","1,233",874,"1,214",,"25,503","24,847","23,628","7,825","6,783",,41.3,39.9,43.0,,"61,271","53,688","33,427","1,065","2,246","4,073",156,"12,721","7,583",,"69,449","40,443","1,649","3,508","5,539",347,"17,963",,"61,271","21,038","40,233",,"61,271","21,038","1,842",66,"2,101",58,11,"12,214","4,746","40,233","31,585",999,145,"4,015",145,507,"2,837",,"61,271","59,470","23,372","10,361",227,"1,651",118,"15,371","11,078",521,416,"3,529","4,320","1,801",625,341,284,"1,176",499,677,,"23,339","10,594","4,646","1,755",551,"4,347","2,843","1,182",360,"6,643","4,227","2,532",841,"7,055","8,655",,"24,502","23,339","1,163",503,54,105,50,125,326,,0.9,4.2,,"23,339","11,857","11,482",Marin County
9,Sausalito,,"7,269",256,150,177,170,152,278,583,537,481,522,622,649,677,582,566,441,255,171,,"6,639","6,581","6,492","2,427","2,015","3,435",124,66,90,63,84,129,276,283,216,237,277,333,333,240,243,231,130,80,,"3,133","3,115","3,080","1,133",924,"3,834",132,84,87,107,68,149,307,254,265,285,345,316,344,342,323,210,125,91,,"3,506","3,466","3,412","1,294","1,091",,52.5,52.4,52.5,,"7,269","6,661","6,066",51,18,418,8,100,608,,"7,940","6,640",124,104,609,39,424,,"7,269",482,"6,787",,"7,269",482,125,1,7,9,0,66,274,"6,787","5,941",50,11,409,8,34,334,,"7,269","7,111","3,983","1,405",51,348,24,937,636,36,27,93,234,158,0,0,0,158,116,42,,"3,992","1,461",336,379,31,829,675,259,37,"1,323","1,060",471,61,524,"1,547",,"4,425","3,992",433,81,11,29,7,149,156,,1.4,3.9,,"3,992","1,995","1,997",Marin County
10,Tiburon,,"9,146",366,551,733,587,314,199,285,404,543,738,731,667,623,622,637,495,342,309,,"7,344","7,084","6,840","2,773","2,405","4,338",186,256,377,306,173,84,139,168,253,351,346,305,294,288,292,228,170,122,,"3,438","3,295","3,176","1,266","1,100","4,808",180,295,356,281,141,115,146,236,290,387,385,362,329,334,345,267,172,187,,"3,906","3,789","3,664","1,507","1,305",,49.2,48.4,49.7,,"9,146","8,264","7,261",91,19,687,13,193,882,,"10,096","8,113",189,111,"1,030",38,615,,"9,146",582,"8,564",,"9,146",582,128,7,13,4,0,112,318,"8,564","7,133",84,6,683,13,81,564,,"9,146","9,103","3,719","2,097",15,162,12,"2,707","1,982",66,53,155,170,43,43,19,24,0,0,0,,"3,714","2,116",906,167,28,464,323,177,43,967,624,418,127,"1,187","1,658",,"4,047","3,714",333,74,11,28,18,117,85,,1.1,5.7,,"3,714","2,496","1,218",Marin County
0,American Canyon,,"21,837",990,"1,349","1,782","1,865","1,542","1,343","1,203","1,289","1,526","1,656","1,556","1,518","1,303","1,088",783,464,305,275,,"17,307","16,561","15,577","3,638","2,915","10,641",475,681,925,945,830,678,574,626,720,780,753,744,622,468,391,209,124,96,,"8,338","7,959","7,472","1,629","1,288","11,196",515,668,857,920,712,665,629,663,806,876,803,774,681,620,392,255,181,179,,"8,969","8,602","8,105","2,009","1,627",,38.3,36.6,39.7,,"21,837","18,685","5,313","1,480",227,"7,774",157,"3,734","3,152",,"25,295","8,078","1,962",652,"8,769",330,"5,504",,"21,837","6,705","15,132",,"21,837","6,705",839,52,188,151,11,"3,632","1,832","15,132","4,474","1,428",39,"7,623",146,102,"1,320",,"21,837","21,761","6,209","3,705",46,314,19,"7,659","4,407",666,524,"2,445",698,76,0,0,0,76,35,41,,"6,192","3,757","1,792",329,139,761,341,141,113,"1,345",452,240,340,"2,876","2,119",,"6,334","6,192",142,46,5,16,2,25,48,,0.3,2.9,,"6,192","4,636","1,556",Napa County
1,Calistoga,,"5,228",248,305,330,303,268,297,291,281,306,310,351,330,353,381,321,259,146,148,,"4,257","4,121","3,987","1,476","1,255","2,501",121,163,162,176,140,146,148,142,134,157,163,143,183,171,131,119,54,48,,"1,999","1,929","1,851",638,523,"2,727",127,142,168,127,128,151,143,139,172,153,188,187,170,210,190,140,92,100,,"2,258","2,192","2,136",838,732,,44.8,42.3,47.2,,"5,228","4,171","2,550",26,84,88,3,"1,420","1,057",,"6,321","3,575",49,183,129,14,"2,371",,"5,228","2,698","2,530",,"5,228","2,698",272,3,75,0,0,"1,406",942,"2,530","2,278",23,9,88,3,14,115,,"5,228","5,210","2,091",950,18,131,4,"1,416",945,99,82,324,177,18,0,0,0,18,2,16,,"2,108",962,361,139,42,348,225,115,30,659,416,286,87,618,947,,"2,392","2,108",284,46,10,32,1,134,61,,2.7,4.6,,"2,108","1,156",952,Napa County
2,Napa,,"79,246","3,856","4,348","4,968","4,974","4,211","5,118","5,469","5,656","5,096","5,107","5,282","5,392","5,103","4,536","3,899","2,588","1,718","1,925",,"65,027","62,955","60,277","17,707","14,666","38,759","1,962","2,216","2,535","2,565","2,229","2,608","2,814","2,840","2,475","2,529","2,539","2,648","2,432","2,123","1,765","1,124",709,646,,"31,517","30,476","29,047","7,827","6,367","40,487","1,894","2,132","2,433","2,409","1,982","2,510","2,655","2,816","2,621","2,578","2,743","2,744","2,671","2,413","2,134","1,464","1,009","1,279",,"33,510","32,479","31,230","9,880","8,299",,40.9,39.2,42.6,,"79,246","66,482","46,173",634,"1,260","2,082",143,"16,190","12,764",,"92,746","58,358","1,206","3,239","3,404",441,"26,098",,"79,246","31,572","47,674",,"79,246","31,572","5,041",55,926,63,13,"15,778","9,696","47,674","41,132",579,334,"2,019",130,412,"3,068",,"79,246","76,862","29,344","13,997",186,"2,040",114,"21,970","14,269","1,414","1,048","4,440","3,357","2,384",962,441,521,"1,422",994,428,,"29,356","14,167","5,612","2,139",644,"4,730","2,865","1,163",473,"8,320","4,900","2,825","1,221","9,009","10,489",,"31,071","29,356","1,715",599,62,178,49,480,347,,1.1,4.4,,"29,356","16,504","12,852",Napa County
3,St. Helena,,"5,430",185,307,342,336,231,241,264,274,320,355,359,363,397,406,358,302,193,197,,"4,527","4,389","4,204","1,680","1,456","2,538",108,148,167,172,118,119,130,132,138,173,173,162,175,173,159,134,81,76,,"2,075","2,011","1,925",717,623,"2,892",77,159,175,164,113,122,134,142,182,182,186,201,222,233,199,168,112,121,,"2,452","2,378","2,279",963,833,,48.0,46.2,49.9,,"5,430","4,704","3,498",14,61,94,6,"1,031",726,,"6,195","4,200",60,135,155,17,"1,628",,"5,430","1,863","3,567",,"5,430","1,863",227,3,48,3,2,"1,001",579,"3,567","3,271",11,13,91,4,30,147,,"5,430","5,385","2,316","1,066",17,109,8,"1,414",941,61,41,208,186,45,0,0,0,45,33,12,,"2,337","1,093",370,118,35,331,232,118,23,795,528,335,109,648,"1,066",,"2,812","2,337",475,77,9,25,27,272,65,,1.9,6.8,,"2,337","1,283","1,054",Napa County
4,Yountville,,"3,436",51,54,41,53,45,73,98,60,89,79,89,159,250,277,382,409,445,782,,"3,282","3,249","3,225","2,467","2,295","1,822",26,28,23,29,20,35,58,25,48,34,38,63,126,151,251,219,259,389,,"1,738","1,720","1,710","1,362","1,269","1,614",25,26,18,24,25,38,40,35,41,45,51,96,124,126,131,190,186,393,,"1,544","1,529","1,515","1,105","1,026",,74.0,74.2,73.3,,"3,436","3,210","2,912",64,32,73,3,126,226,,"3,680","3,117",77,69,106,29,282,,"3,436",348,"3,088",,"3,436",348,55,3,17,3,1,122,147,"3,088","2,857",61,15,70,2,4,79,,"3,436","1,902","1,063",386,15,59,3,261,160,16,12,53,46,"1,534","1,071",594,477,463,374,89,,"1,047",392,49,59,9,200,151,81,15,396,305,205,11,117,598,,"1,348","1,047",301,34,6,14,7,207,33,,2.0,8.1,,"1,047",666,381,Napa County
0,San Francisco,,"873,965","34,890","30,486","30,152","30,788","54,485","98,991","103,419","79,086","59,410","55,316","54,621","51,981","48,241","44,080","37,105","22,971","17,292","20,651",,"772,514","760,738","739,967","170,412","142,099","446,144","17,726","15,530","15,309","15,391","26,513","50,311","54,392","42,373","31,527","29,547","29,587","27,927","24,874","21,986","17,629","10,445","7,373","7,704",,"394,592","388,550","378,449","79,640","65,137","427,821","17,164","14,956","14,843","15,397","27,972","48,680","49,027","36,713","27,883","25,769","25,034","24,054","23,367","22,094","19,476","12,526","9,919","12,947",,"377,922","372,188","361,518","90,772","76,962",,38.2,38.1,38.3,,"873,965","787,732","361,382","46,725","6,475","296,505","3,476","73,169","86,233",,"969,241","438,710","59,840","18,075","328,095","7,090","117,431",,"873,965","136,761","737,204",,"873,965","136,761","20,076","1,654","4,905","2,285",232,"66,822","40,787","737,204","341,306","45,071","1,570","294,220","3,244","6,347","45,446",,"873,965","846,073","371,885","118,612","7,231","28,557","5,243","153,847","95,571","11,621","8,014","59,176","89,901","27,892","4,014","2,354","1,660","23,878","14,482","9,396",,"371,851","125,821","43,319","33,810","3,126","101,674","68,566","16,483","3,832","110,546","66,168","25,396","8,976","69,027","102,961",,"406,628","371,851","34,777","15,633","1,811","1,607","1,212","4,815","9,699",,1.2,6.0,,"371,851","126,924","244,927",San Francisco County
0,Atherton,,"7,188",192,312,493,804,620,254,201,205,259,404,554,539,504,465,453,370,233,326,,"6,070","5,825","5,172","2,146","1,847","3,498",93,181,271,395,333,125,113,79,130,180,269,258,244,217,214,181,107,108,,"2,897","2,759","2,451",966,827,"3,690",99,131,222,409,287,129,88,126,129,224,285,281,260,248,239,189,126,218,,"3,173","3,066","2,721","1,180","1,020",,48.4,45.7,50.0,,"7,188","6,564","4,844",100,14,"1,411",45,150,624,,"7,883","5,418",163,83,"1,685",91,443,,"7,188",484,"6,704",,"7,188",484,113,6,3,7,0,129,226,"6,704","4,731",94,11,"1,404",45,21,398,,"7,188","6,596","2,254","1,587",3,45,4,"2,020","1,227",104,75,198,381,592,0,0,0,592,287,305,,"2,252","1,591",569,46,10,213,111,54,27,402,221,167,43,734,"1,116",,"2,526","2,252",274,10,3,36,28,68,129,,1.7,3.7,,"2,252","1,994",258,San Mateo County
1,Belmont,,"28,335","1,504","1,797","1,801","1,651","1,307","1,755","2,052","2,155","2,252","2,147","1,966","1,811","1,566","1,282","1,121",843,608,717,,"22,868","22,198","21,289","5,469","4,571","13,908",776,898,892,814,644,920,"1,012","1,077","1,081","1,078",966,911,769,624,524,400,268,254,,"11,168","10,833","10,384","2,519","2,070","14,427",728,899,909,837,663,835,"1,040","1,078","1,171","1,069","1,000",900,797,658,597,443,340,463,,"11,700","11,365","10,905","2,950","2,501",,40.3,39.6,40.9,,"28,335","24,793","14,248",370,102,"8,398",148,"1,527","3,542",,"32,171","17,578",691,429,"10,004",315,"3,154",,"28,335","3,523","24,812",,"28,335","3,523",676,22,80,68,16,"1,227","1,434","24,812","13,572",348,22,"8,330",132,300,"2,108",,"28,335","27,613","10,669","6,086",67,639,31,"7,945","5,835",197,133,"1,018",961,722,203,74,129,519,209,310,,"10,705","6,174","3,035",676,117,"1,639","1,071",339,121,"2,216","1,326",651,280,"3,774","3,088",,"11,169","10,705",464,243,22,63,22,16,98,,1.0,5.2,,"10,705","6,270","4,435",San Mateo County
2,Brisbane,,"4,851",270,269,241,199,194,236,372,432,382,361,380,363,361,299,227,122,73,70,,"4,026","3,948","3,838",984,791,"2,416",130,144,113,93,104,124,186,228,186,167,183,184,167,154,123,64,30,36,,"2,006","1,976","1,917",497,407,"2,435",140,125,128,106,90,112,186,204,196,194,197,179,194,145,104,58,43,34,,"2,020","1,972","1,921",487,384,,42.5,41.9,43.0,,"4,851","4,161","2,114",89,30,"1,539",24,365,690,,"5,622","2,750",153,126,"1,788",54,751,,"4,851",868,"3,983",,"4,851",868,159,1,20,19,0,309,360,"3,983","1,955",88,10,"1,520",24,56,330,,"4,851","4,837","1,945",936,31,149,23,"1,208",818,53,35,265,227,14,0,0,0,14,5,9,,"1,955",973,415,177,31,378,242,84,24,427,235,105,54,614,634,,"2,052","1,955",97,36,5,7,11,7,31,,0.6,4.8,,"1,955","1,249",706,San Mateo County
3,Burlingame,,"31,386","1,666","2,133","2,125","1,717","1,135","1,803","2,410","2,421","2,585","2,463","2,179","2,011","1,659","1,549","1,189",856,706,779,,"25,071","24,302","23,549","6,081","5,079","15,147",850,"1,046","1,106",873,605,860,"1,214","1,153","1,239","1,212","1,064",984,786,687,509,376,298,285,,"11,960","11,544","11,171","2,630","2,155","16,239",816,"1,087","1,019",844,530,943,"1,196","1,268","1,346","1,251","1,115","1,027",873,862,680,480,408,494,,"13,111","12,758","12,378","3,451","2,924",,40.5,39.5,41.5,,"31,386","27,728","16,647",298,120,"8,649",113,"1,901","3,658",,"35,300","20,087",589,443,"10,096",278,"3,807",,"31,386","4,263","27,123",,"31,386","4,263",821,14,100,75,8,"1,563","1,682","27,123","15,826",284,20,"8,574",105,338,"1,976",,"31,386","30,806","12,474","6,349",77,771,43,"8,997","6,734",233,164,"1,071",791,580,294,108,186,286,119,167,,"12,481","6,428","3,198",820,128,"2,052","1,485",381,151,"3,181","2,037",840,433,"4,122","3,347",,"13,170","12,481",689,280,33,43,33,77,223,,0.7,4.0,,"12,481","5,756","6,725",San Mateo County
4,Colma,,"1,507",76,80,85,87,90,107,110,80,81,79,107,118,126,90,74,39,37,41,,"1,247","1,205","1,168",356,281,767,41,47,45,45,51,53,58,41,34,42,50,65,64,50,34,17,20,10,,629,602,580,173,131,740,35,33,40,42,39,54,52,39,47,37,57,53,62,40,40,22,17,31,,618,603,588,183,150,,41.8,40.4,43.5,,"1,507","1,262",347,60,21,460,6,368,245,,"1,786",557,82,71,527,16,533,,"1,507",621,886,,"1,507",621,40,10,17,18,3,355,178,886,307,50,4,442,3,13,67,,"1,507","1,450",493,212,1,32,3,409,229,46,34,177,77,57,31,12,19,26,13,13,,509,224,89,32,8,126,67,28,11,127,43,21,19,192,186,,526,509,17,6,0,2,2,1,6,,0.8,2.2,,509,247,262,San Mateo County
5,Daly City,,"104,901","4,821","4,779","5,099","5,561","7,261","8,929","8,607","7,564","6,996","6,539","6,644","7,096","6,909","5,798","4,856","2,871","2,234","2,337",,"89,111","86,902","83,380","22,095","18,096","51,877","2,478","2,451","2,639","2,873","3,804","4,661","4,560","3,967","3,549","3,278","3,244","3,436","3,204","2,696","2,175","1,182",883,797,,"43,746","42,597","40,770","9,563","7,733","53,024","2,343","2,328","2,460","2,688","3,457","4,268","4,047","3,597","3,447","3,261","3,400","3,660","3,705","3,102","2,681","1,689","1,351","1,540",,"45,365","44,305","42,610","12,532","10,363",,39.9,38.0,41.7,,"104,901","95,490","15,009","2,531",980,"60,281",764,"15,925","9,411",,"115,262","22,806","3,584","1,966","63,483","1,513","21,910",,"104,901","25,237","79,664",,"104,901","25,237","2,802",171,868,559,59,"15,000","5,778","79,664","12,207","2,360",112,"59,722",705,925,"3,633",,"104,901","104,190","31,796","15,306",265,"1,755",167,"26,427","13,443","3,362","2,455","15,758","9,354",711,288,126,162,423,177,246,,"31,777","15,550","5,679","1,914",558,"5,963","2,591",767,600,"8,350","3,047","1,645","1,106","10,186","11,900",,"33,444","31,777","1,667",973,68,97,55,112,362,,0.6,6.2,,"31,777","17,154","14,623",San Mateo County
